log_file,nlr_station_id,station_lat,station_lng,station_name
BMW_i4_2023-04-03T10:34:39.369Z-BMW-i4-din-spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
BMW_iX_2024-02-27_2024-02-27T13:26:06.131Z-1_din_spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
BMW_iX_fw_11_2022.64_2023-03-30T06:36:03.571Z_car_stops_soc_too_close_to_target_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
BMW_iX_fw_11_2022.64_din_spec_70121_2023-03-30T06:24:26.582Z_din_spec_eventlog.csv,113867,28.538762,-81.378713,Grand Bohemian Hotel Orlando - Tesla Destination
BMW_iX_fw_11_2022.64_iso_15118-2_2023-03-30T06:29:19.281Z_iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
BYD_Atto3_2023-04-18T15:30:40.007Z-1_config-dc-dinspec_eventlog.csv,113878,28.554271,-81.377852,Courtyard Orlando Downtown - Tesla Destination
BYD_Atto3_2023-04-18T15:31:50.525Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
BYD_Atto3_2023-04-18T15:33:10.987Z-3_config-ac-iso2_not_supported_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Citroen_eC4_2024-02-29T12:38:14.680Z-citroen-ec4-1_din_spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Citroen_eC4_2024-02-29T12:39:13.614Z-2_iso2_dc_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Citroen_eC4_2024-02-29T12:40:16.003Z-2_iso2_ac_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Fiat_Scudo_2024-02-20T09:29:24.291Z-1_din_spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Fiat_Scudo_2024-02-20T09:37:13.153Z-2_iso2_dc_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Hyundai_Ioniq5_din_spec_70121_2023-04-07T10:26:30.299Z-ioniq5_dinspec_discharge_incomplete-eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
